variable,coef,std_err(cluster),t,p
const,-3.1472041271817908,2.51060243758923,-1.2535653116802707,0.21000004610996859
_pred_delta_dom,247.71154330423533,177.37062324648375,1.396575931066116,0.16254113233447431
_pred_delta_val,-133.34080043376122,101.97762440727301,-1.3075495846150678,0.1910261263326789
historical_volatility_10d,9.255219866675356,4.738223008341416,1.9533103128286664,0.05078283623020735
QDI,-0.6471044591528055,0.7066630386716375,-0.9157185585497887,0.35981452857117024
