uid,neg_density,num_density,len_words,ttr,qmark_ratio,clause_ratio,z_neg_density,z_num_density,z_len_words,z_ttr,z_qmark_ratio,z_clause_ratio,QDI
ABBV_20241030_EC,0.0008194482381862879,0.0,17.350710900473935,0.2955476645725212,0.07109004739336493,1.066350710900474,-0.21742518436584402,-0.026144349280800117,-0.5639784952560647,-0.25019372973976567,-0.5457459932210209,-0.489937427651964,-0.3489041965859099
ABBV_20250131_EC,0.0018975332068311196,0.0,25.095238095238095,0.27870018975332067,0.08928571428571429,1.7023809523809523,0.47419856794695303,-0.026144349280800117,0.7304036834726956,-0.4168844595984325,-0.37336934714329256,0.9703245301553679,0.2264214375920819
ABBV_20250425_EC,0.0020173492031470646,0.0,28.164772727272727,0.2779907201936655,0.09659090909090909,1.8863636363636365,0.5510641132140351,-0.026144349280800117,1.2434306023248234,-0.4239040278115067,-0.30416358585331243,1.392730410872359,0.40550219391093306
ABT_20220720_EC,0.0008517887563884157,0.0,22.576923076923077,0.39267461669505965,0.23076923076923078,1.5384615384615385,-0.19667777465210676,-0.026144349280800117,0.3095048993176461,0.710790792391844,0.9669747133959812,0.593981915163624,0.39307169938936476
ABT_20230125_EC,0.0009523809523809524,0.0,19.444444444444443,0.38666666666666666,0.14814814814814814,0.9629629629629629,-0.13214487226576194,-0.026144349280800117,-0.21404217013679266,0.6513474879242875,0.18426390637844037,-0.7273053786869693,-0.044004229344599355
ABT_20230419_EC,0.00042069835927639884,0.0,24.50515463917526,0.2961716449305848,0.07216494845360824,1.6288659793814433,-0.47323515807561245,-0.026144349280800117,0.6317800373440091,-0.24402000089201242,-0.5355629182765107,0.8015414890368566,0.025726516642655017
ABT_20230720_EC,0.0,0.0,19.934782608695652,0.4122137404580153,0.13043478260869565,1.391304347826087,-0.743125738407446,-0.026144349280800117,-0.13208946141799155,0.9041129867146401,0.016456342055339513,0.2561236919405276,0.045888911934044936
ABT_20231018_EC,0.0,0.0,17.12121212121212,0.5097345132743363,0.21212121212121213,1.121212121212121,-0.743125738407446,-0.026144349280800117,-0.6023357922796105,1.8689940131939067,0.7903127130660033,-0.3639811048153618,0.15395329024611526
ABT_20240124_EC,0.0,0.0,24.68,0.4586709886547812,0.16,1.64,-0.743125738407446,-0.026144349280800117,0.6610028308591445,1.3637660025077587,0.2965424221437153,0.8271040891875598,0.3965242095016554
ABT_20240417_EC,0.0018026137899954935,0.0,25.50574712643678,0.3298783235691753,0.09195402298850575,1.4942528735632183,0.4133049230594639,-0.026144349280800117,0.7990141435857443,0.08947750681607829,-0.348091125267259,0.4924832326383989,0.2366740552586044
ABT_20240718_EC,0.0005889281507656066,0.0,28.3,0.3333333333333333,0.06666666666666667,2.1,-0.3653107151749559,-0.026144349280800117,1.2660318234832453,0.1236617454296874,-0.5876508895078237,1.8832181805990293,0.38230096592473045
ABT_20241016_EC,0.0009992006394884093,0.0,22.044052863436125,0.2468025579536371,0.01762114537444934,1.6431718061674008,-0.10210864263529544,-0.026144349280800117,0.22044359311173456,-0.7324830630990962,-1.0522836240761277,0.8343862395975987,-0.14303164106366437
ABT_20250122_EC,0.0,0.0,34.0188679245283,0.343871325568497,0.20754716981132076,2.5660377358490565,-0.743125738407446,-0.026144349280800117,2.2218552763361843,0.2279257752487124,0.7469805243058201,2.9531943109461696,0.8967809665247733
ABT_20250416_EC,0.0005257623554153522,0.0,32.793103448275865,0.33964248159831756,0.05172413793103448,2.1724137931034484,-0.4058334621462639,-0.026144349280800117,2.0169870315125875,0.18608513768062604,-0.729208932013612,2.0494730225753477,0.5152264080546475
ACGL_20250211_EC,0.005418326693227091,0.0,15.532178217821782,0.21800796812749004,0.08168316831683169,1.0717821782178218,2.732892894462374,-0.026144349280800117,-0.8679191021729253,-1.0173798352035561,-0.4453920646133929,-0.4774673207587206,-0.01690162959450353
ADBE_20250312_EC,0.0,0.0,24.551724137931036,0.43820224719101125,0.06896551724137931,2.310344827586207,-0.743125738407446,-0.026144349280800117,0.6395634342830192,1.1612460705595193,-0.5658727291223178,2.3661489120540486,0.47196926668100386
ADI_20230524_EC,0.001029512697323267,0.0,21.909774436090224,0.3009608785175017,0.06015037593984962,1.518796992481203,-0.0826625509172933,-0.026144349280800117,0.19800095730282874,-0.19663480811778133,-0.6493829681945584,0.5488340801396216,-0.03466493984466379
ADI_20240221_EC,0.002531645569620253,0.0,16.80851063829787,0.37911392405063293,0.06382978723404255,1.0851063829787233,0.8810006146274104,-0.026144349280800117,-0.654599179903829,0.5766198392640557,-0.6145260661537671,-0.4468762764003732,-0.04742090297455056
AEE_20230505_EC,0.0,0.0,23.23076923076923,0.5827814569536424,0.07692307692307693,1.6153846153846154,-0.743125738407446,-0.026144349280800117,0.4187855290946298,2.5917283390509542,-0.4904867893263359,0.770589622757515,0.42022443564808615
AEE_20230803_EC,0.0,0.0,24.373737373737374,0.3145462080397845,0.0707070707070707,1.6666666666666667,-0.743125738407446,-0.026144349280800117,0.6098156020618826,-0.06222009506778858,-0.5493741227696619,0.8883280944867759,0.019546565170493635
AEE_20231109_EC,0.0,0.0,16.333333333333332,0.5260770975056689,0.14814814814814814,1.2222222222222223,-0.743125738407446,-0.026144349280800117,-0.7340179771802187,2.0306893012137435,0.18426390637844037,-0.13207199383348403,0.0965988581483725
AEE_20240223_EC,0.0007498125468632841,0.0,25.163522012578618,0.25368657835541114,0.05660377358490566,1.9559748427672956,-0.26209856311469304,-0.026144349280800117,0.7418163215171607,-0.6643718240292565,-0.6829817047802268,1.5525507934876996,0.10979511229998064
