Horizon (days),Corr,CI_low,CI_high
1,-0.11517250124308473,-0.15888862985171576,-0.06765472817125728
5,-0.09404543912971229,-0.14461726033018127,-0.039326140025801475
10,-0.0881921758944766,-0.1476588104478432,-0.029918620713376826
15,-0.08200796686317614,-0.14394254525651953,-0.022311328809674184
20,-0.07785178384165832,-0.14141146532106927,-0.018672685258078307
25,-0.07604418640411968,-0.13966828116008306,-0.015786074976045356
30,-0.07776243904366867,-0.14159148304434263,-0.017092187461178892
