Model Configuration,"OOS R^2 (car, 1d)","OOS R^2 (car, 5d)","OOS R^2 (car, 10d)","OOS R^2 (car, 15d)","OOS R^2 (car, 20d)","OOS R^2 (car, 25d)","OOS R^2 (car, 30d)"
Financial-Only,-0.12453837232385379,-0.07262626353296553,-0.0715836674004624,-0.14135528145527143,-0.09929006459168588,-0.16315959373818134,-0.1625479000817096
Multimodal,-0.12630062437083822,-0.08352001407547482,-0.07703326274675137,-0.1400924204977516,-0.10713290002123155,-0.11911971093799556,-0.13414208829266583
Financial+Textual,-0.12433719681278,-0.08766840887292715,-0.08098862898321602,-0.15707488222938748,-0.11897099937694411,-0.13999379234059584,-0.14186952678994502
Acoustic Δ (Q&A − Pres.),-0.1709987624475371,-0.09382594182445114,-0.08419238003068075,-0.16778947860881233,-0.11782204731435741,-0.13089271206477715,-0.15535288891877297
Textual-Only,-0.17758608632218076,-0.10035219429098197,-0.09766993040183714,-0.18423741985037356,-0.12698873079616058,-0.13924121718608995,-0.16705070712270098
Acoustic-Only,-0.17646398597702073,-0.09983771184071477,-0.11054161543734287,-0.17116321314939653,-0.11981614156834963,-0.13381786273651408,-0.15771686521075812
