Model Configuration,"OOS R^2 (log_RV, 10d)",95% CI (lower),95% CI (upper),"OOS MSE (log_RV, 10d)","OOS QLIKE (RV, 10d)"
Financial-Only,0.006412992098665193,-0.05957443499116043,0.06803910387128852,1.3906510850939011,0.7175505506595529
Financial+Textual,-0.07065649708598665,-0.12544813836239102,-0.01971495367573318,1.4985196138789632,0.8200648717277149
Multimodal,-0.08584208984927133,-0.1363949017063487,-0.03980825257016369,1.519773777717781,0.831669965165421
Textual-Only,-0.11549925966252061,-0.15704189416887665,-0.08397885134998945,1.561282749809438,0.8812031180128894
Acoustic-Only,-0.11643434612824044,-0.15896769624536786,-0.08730586005279237,1.5625915219631281,0.8893700027504975
Acoustic Δ (Q&A − Pres.),-0.11850367734017753,-0.16118826130554134,-0.08755441219591245,1.5654878135535117,0.90058815911522
